,name,metal,blyp.vertsse,pbe.vertsse,scan.vertsse,m06-l.vertsse,mn15-l.vertsse,blyp_hfx_10.vertsse,blyp_hfx_20.vertsse,blyp_hfx_30.vertsse,blyp_hfx_40.vertsse,blyp_hfx_50.vertsse,pbe_hfx_10.vertsse,pbe_hfx_20.vertsse,pbe_hfx_30.vertsse,pbe_hfx_40.vertsse,pbe_hfx_50.vertsse,scan_hfx_10.vertsse,scan_hfx_20.vertsse,scan_hfx_30.vertsse,scan_hfx_40.vertsse,scan_hfx_50.vertsse,m06-l_hfx_10.vertsse,m06-l_hfx_20.vertsse,m06-l_hfx_30.vertsse,m06-l_hfx_40.vertsse,m06-l_hfx_50.vertsse,mn15-l_hfx_10.vertsse,mn15-l_hfx_20.vertsse,mn15-l_hfx_30.vertsse,mn15-l_hfx_40.vertsse,mn15-l_hfx_50.vertsse,dlpno-CCSD_T.vertsse,delta.blyp.vertsse,delta.pbe.vertsse,delta.scan.vertsse,delta.m06-l.vertsse,delta.mn15-l.vertsse,delta.blyp_hfx_10.vertsse,delta.blyp_hfx_20.vertsse,delta.blyp_hfx_30.vertsse,delta.blyp_hfx_40.vertsse,delta.blyp_hfx_50.vertsse,delta.pbe_hfx_10.vertsse,delta.pbe_hfx_20.vertsse,delta.pbe_hfx_30.vertsse,delta.pbe_hfx_40.vertsse,delta.pbe_hfx_50.vertsse,delta.scan_hfx_10.vertsse,delta.scan_hfx_20.vertsse,delta.scan_hfx_30.vertsse,delta.scan_hfx_40.vertsse,delta.scan_hfx_50.vertsse,delta.m06-l_hfx_10.vertsse,delta.m06-l_hfx_20.vertsse,delta.m06-l_hfx_30.vertsse,delta.m06-l_hfx_40.vertsse,delta.m06-l_hfx_50.vertsse,delta.mn15-l_hfx_10.vertsse,delta.mn15-l_hfx_20.vertsse,delta.mn15-l_hfx_30.vertsse,delta.mn15-l_hfx_40.vertsse,delta.mn15-l_hfx_50.vertsse
0,Co_ADETCO_comp_0_3111,Co,15.046954718507097,11.184304928952995,17.693633758099168,11.413871901725088,-5.308395974486757,16.66418795078812,9.315408181713565,1.9900781432659187,-5.513425799167634,-13.050197432006598,12.22902224543418,4.361429620466879,-3.4671845751768164,-11.499144606199252,-19.499590910046443,10.75306778261961,3.397361227015381,-4.365645712424566,-12.383762381208498,-20.57164965587389,5.332266677542067,-0.7717358048205369,-6.963018887098542,-13.317176854643549,-19.676611262648294,-8.847183239295191,-12.172036894152145,-14.958470025313773,-17.120496961728122,-18.580548465290576,-7.007767517684441,22.05472223619153,18.192072446637443,24.70140127578361,18.42163941940953,1.6993715431976852,23.67195546847256,16.323175699398007,8.997845660950361,1.4943417185168073,-6.042429914322156,19.236789763118622,11.36919713815132,3.5405829425076263,-4.49137708851481,-12.491823392361994,17.760835300304052,10.405128744699825,2.642121805259876,-5.375994863524057,-13.563882138189454,12.340034195226508,6.236031712863905,0.0447486305859001,-6.309409336959107,-12.668843744963851,-1.8394157216107487,-5.1642693764677015,-7.95070250762933,-10.11272944404368,-11.572780947606134
1,Co_AFULAO_comp_0_411,Co,11.663957333936429,8.349138526417619,7.15316678809927,-1.1130298963246332,-15.04828703444673,6.202279987375049,0.4719819064132479,-5.562909930413298,-12.001814039621197,-18.671909841173147,2.3707075888250984,-3.889553951619291,-10.462061633370466,-17.424553819831768,-24.58329668346323,1.6109497351692426,-4.462070637874831,-11.162994563471782,-18.352909049975786,-25.86270339936732,-5.637382069011211,-10.271463604185556,-15.284221555340311,-20.545684801722924,-25.991010636572582,-17.920864064576566,-20.26419152634844,-22.088697020875543,-23.3929427556916,-24.09078438924439,-5.074985314940932,16.738942648877355,13.424123841358549,12.228152103040204,3.961955418616298,-9.973301719505796,11.277265302315982,5.546967221354179,-0.487924615472366,-6.926828724680263,-13.596924526232216,7.44569290376603,1.185431363321641,-5.387076318429536,-12.34956850489084,-19.5083113685223,6.685935050110174,0.6129146770661009,-6.088009248530853,-13.277923735034848,-20.787718084426388,-0.5623967540702779,-5.196478289244624,-10.209236240399376,-15.470699486781996,-20.916025321631647,-12.845878749635633,-15.189206211407509,-17.01371170593461,-18.31795744075066,-19.01579907430346
2,Co_BOTQEH_comp_0_222,Co,16.275958504211303,12.342795163744992,10.245715754018647,2.577641192417559,-14.031450327048562,8.632246016913996,0.9586440640202908,-6.7263997181544255,-14.331095858293564,-21.7835100221123,4.182504516467134,-3.994755748026364,-12.164148281570988,-20.24915127516352,-28.155779043839857,2.910903119178556,-4.803658839427953,-12.758200332624485,-20.872519081393648,-29.078123406330857,-3.678382050109121,-10.03240922109967,-16.434286594250125,-22.78238929049735,-29.02047128784829,-18.125338649514333,-21.5367515916762,-24.21076522553108,-26.096524227555165,-27.16589563160824,-10.755486167726076,27.03144467193738,23.09828133147107,21.001201921744727,13.333127360143637,-3.275964159322484,19.387732184640075,11.714130231746363,4.0290864495716505,-3.575609690567489,-11.02802385438622,14.93799068419321,6.760730419699713,-1.4086621138449118,-9.493665107437437,-17.40029287611378,13.666389286904632,5.951827328298122,-2.002714164898407,-10.117032913667574,-18.322637238604784,7.077104117616955,0.7230769466264064,-5.678800426524049,-12.026903122771271,-18.26498512012222,-7.369852481788257,-10.781265423950115,-13.455279057805,-15.341038059829089,-16.41040946388216
3,Co_CAASPC_comp_3_33,Co,12.344359674772251,9.185868484192952,6.525268173026007,-0.6026578428929952,-19.391276591321684,4.6417093858826775,-3.0630645057703987,-10.76408607442545,-18.37863157954416,-25.83582158793661,0.079014266291324,-8.181958701953818,-16.415202422559787,-24.54678217374863,-32.4758328005646,-1.0007151042327678,-8.793786055722421,-16.807154370077342,-24.972460329832984,-33.243464511148204,-7.133307503733022,-13.692457995915674,-20.22251145017094,-26.66418965218213,-32.96610630118835,-23.343689411026396,-26.676110953166017,-29.1091438943306,-30.703777174949213,-31.458305073161917,-14.24981529741899,26.59417497219124,23.435683781611942,20.775083470445,13.647157454525995,-5.141461293902694,18.891524683301668,11.186750791648594,3.4857292229935406,-4.128816282125172,-11.586006290517616,14.328829563710316,6.067856595465172,-2.1653871251407963,-10.296966876329632,-18.226017503145613,13.249100193186225,5.4560292416965686,-2.557339072658351,-10.722645032413991,-18.99364921372921,7.116507793685969,0.5573573015033162,-5.972696152751952,-12.41437435476314,-18.71629100376936,-9.0938741136074,-12.426295655747024,-14.85932859691161,-16.45396187753022,-17.20848977574292
4,Co_CEWTUT_comp_0_42,Co,12.907094340154115,9.236227447624971,8.1447559923879,-0.156098413217478,-16.283482727201314,6.179562441059262,-0.7301731649249632,-7.7909449996923295,-14.918227566965928,-22.016414363569087,1.9694531629045289,-5.462354793133954,-13.031996233080466,-20.647227937719208,-28.2020143879754,1.3937675541205865,-5.7974162772666205,-13.332070077199203,-21.118206457988435,-29.076000432487486,-5.784214445238831,-11.57854168681638,-17.50287998243607,-23.4658342456396,-29.394687350020376,-19.81567880913417,-22.7167070643884,-24.943178671601345,-26.44405512027788,-27.183555462418106,-10.720108972469689,23.62720331262381,19.956336420094654,18.864864964857592,10.56401055925221,-5.563373754731629,16.89967141352895,9.989935807544724,2.92916397277736,-4.198118594496236,-11.296305391099391,12.689562135374215,5.257754179335734,-2.3118872606107743,-9.92711896524952,-17.481905415505707,12.113876526590277,4.922692695203068,-2.6119611047295166,-10.398097485518749,-18.3558914600178,4.9358945272308565,-0.8584327143466908,-6.782771009966383,-12.745725273169912,-18.674578377550688,-9.09556983666448,-11.996598091918711,-14.223069699131653,-15.723946147808194,-16.46344648994841
5,Co_CULQIJ_comp_0_411,Co,21.71680485398156,17.878245222372016,18.45147547016836,11.809671420825223,-3.885503757036304,17.502477281507257,10.13487015873807,2.6455491859985614,-5.10552172419807,-12.801555408883589,13.01867812930027,5.138195210347477,-2.884646206673551,-11.13065877005283,-19.27760402201216,11.359505279427822,3.798006637667868,-4.109429491415996,-12.261759868881654,-20.50762761883448,5.771867151308925,-0.3675748633099829,-6.664296036192354,-13.12896851708274,-19.564244215968078,-8.05563022241131,-11.517262192419365,-14.459178274528313,-16.74634502972026,-18.300281881230376,-0.7074930727435458,22.424297926725107,18.58573829511556,19.158968542911907,12.517164493568773,-3.178010684292758,18.2099703542508,10.842363231481617,3.353042258742107,-4.398028651454524,-12.09406233614004,13.726171202043815,5.845688283091023,-2.177153133930005,-10.423165697309289,-18.57011094926861,12.066998352171366,4.505499710411414,-3.401936418672449,-11.554266796138108,-19.80013454609093,6.479360224052472,0.3399182094335629,-5.956802963448808,-12.421475444339194,-18.85675114322453,-7.348137149667764,-10.80976911967582,-13.751685201784769,-16.038851956976714,-17.59278880848683
6,Co_DABUCO_comp_1_33,Co,18.13542855076321,14.370406021586176,13.90458461074445,5.27764573209879,-10.819583591858189,11.973542091548095,5.17180333059855,-2.0451261217704086,-9.413942192544482,-16.76676462143064,7.739781925344005,0.4220300520580622,-7.292826534229563,-15.154489430231026,-22.956138993024524,7.402579589942206,0.1158554971618741,-7.632001838888982,-15.658584093981744,-23.840674356953286,0.0458914540877231,-5.718874646738641,-11.782162012447088,-17.942493281722136,-24.079421147300767,-14.128477262612476,-17.038657152457972,-19.38047012746437,-21.040695966274825,-21.95395326977632,-5.3094808100684086,23.444909360831613,19.67988683165459,19.21406542081285,10.587126542167198,-5.510102781789783,17.283022901616505,10.481284140666958,3.264354688297998,-4.1044613824760745,-11.457283811362233,13.049262735412412,5.73151086212647,-1.983345724161154,-9.845008620162616,-17.646658182956113,12.712060400010614,5.425336307230282,-2.3225210288205744,-10.349103283913337,-18.53119354688488,5.355372264156131,-0.4093938366702332,-6.4726812023786815,-12.633012471653728,-18.76994033723236,-8.81899645254407,-11.729176342389565,-14.070989317395972,-15.731215156206416,-16.64447245970791
7,Co_DATMCO_comp_1_111111,Co,21.16779112628365,17.158441592453073,17.16526144087311,8.317944645650641,-9.079572723445608,15.19011886669091,8.20608068885008,0.7493116046612158,-6.8343120707368135,-14.344048393970752,10.679848042303773,3.2001626987187137,-4.735864117387791,-12.781748736939562,-20.722358054900948,10.419899108106849,2.8865202839472204,-5.065848940794241,-13.245000989630851,-21.54498162941764,3.0849654329642817,-2.828376197255693,-9.042869186420148,-15.330789683832789,-21.55946436344948,-12.082361562405596,-14.814433256436816,-17.051488102521258,-18.56060465166138,-19.350329277011728,-3.789192007533302,24.956983133816948,20.94763359998637,20.95445344840641,12.107136653183945,-5.290380715912307,18.97931087422421,11.99527269638338,4.538503612194519,-3.0451200632035125,-10.55485638643745,14.469040049837076,6.989354706252017,-0.9466721098544896,-8.99255672940626,-16.933166047367653,14.209091115640147,6.675712291480522,-1.276656933260938,-9.455808982097553,-17.755789621884333,6.8741574404975845,0.9608158102776088,-5.253677178886847,-11.541597676299489,-17.770272355916177,-8.293169554872293,-11.02524124890351,-13.26229609498796,-14.771412644128077,-15.56113726947842
8,Co_DAYKOD_comp_1_2211,Co,19.950363915143047,16.209463709865304,15.26217257737926,8.096789773582032,-7.318610950794665,14.036945417128663,7.368638489581372,0.0200160024746764,-7.603927524402253,-15.189182329278312,9.74836030479196,2.5002258850838643,-5.346051846405544,-13.433785924252104,-21.442295120042445,8.647503942664798,1.2989430517791334,-6.539257251836262,-14.607775274810136,-22.74800212196851,2.7775043814142464,-3.0621634224462477,-9.274517515301568,-15.632915585342744,-21.944862255210182,-10.748042599177554,-13.947084675503447,-16.721177155204717,-18.877773383100017,-20.276478521561785,-1.5443672327171498,21.494731147860197,17.753830942582454,16.80653981009641,9.64115700629918,-5.774243718077514,15.581312649845811,8.913005722298523,1.5643832351918263,-6.059560291685102,-13.64481509656116,11.292727537509109,4.044593117801013,-3.8016846136883937,-11.889418691534956,-19.89792788732529,10.191871175381948,2.8433102844962828,-4.994890019119112,-13.063408042092988,-21.20363488925136,4.321871614131396,-1.5177961897290968,-7.730150282584418,-14.088548352625596,-20.40049502249304,-9.203675366460402,-12.402717442786296,-15.176809922487564,-17.33340615038287,-18.73211128884464
9,Co_DETCON_comp_0_33,Co,22.4487425476525,18.366590573571678,12.480406085401794,7.241067584164398,-8.630473632230746,13.346666074639304,3.830099710147578,-5.5519179603703614,-14.52133857442618,-22.898413041058923,8.793769498058737,-1.1598762028410192,-10.95277635727996,-20.327839609587954,-29.11036702742365,3.859387684831858,-4.805398049572887,-13.73756876750349,-22.531079744859426,-31.09024115624834,-0.2677341225171403,-7.466256480234962,-14.901804830334411,-22.11528142370809,-28.96209002963872,-14.111959641080036,-18.648955053284908,-22.565691245404768,-25.509640222958296,-27.38190686951953,-4.5001256624885855,26.948868210141093,22.86671623606025,16.98053174789038,11.741193246652983,-4.130347969742161,17.846791737127887,8.330225372636164,-1.051792297881775,-10.021212911937596,-18.398287378570327,13.293895160547324,3.3402494596475663,-6.452650694791372,-15.827713947099369,-24.610241364935064,8.359513347320444,-0.305272387084301,-9.237443105014904,-18.03095408237084,-26.59011549375976,4.232391539971444,-2.966130817746375,-10.40167916784583,-17.615155761219512,-24.46196436715013,-9.611833978591449,-14.148829390796326,-18.06556558291618,-21.00951456046971,-22.88178120703094
