,name,metal,blyp.vertsse,pbe.vertsse,scan.vertsse,m06-l.vertsse,mn15-l.vertsse,blyp_hfx_10.vertsse,blyp_hfx_20.vertsse,blyp_hfx_30.vertsse,blyp_hfx_40.vertsse,blyp_hfx_50.vertsse,pbe_hfx_10.vertsse,pbe_hfx_20.vertsse,pbe_hfx_30.vertsse,pbe_hfx_40.vertsse,pbe_hfx_50.vertsse,scan_hfx_10.vertsse,scan_hfx_20.vertsse,scan_hfx_30.vertsse,scan_hfx_40.vertsse,scan_hfx_50.vertsse,m06-l_hfx_10.vertsse,m06-l_hfx_20.vertsse,m06-l_hfx_30.vertsse,m06-l_hfx_40.vertsse,m06-l_hfx_50.vertsse,mn15-l_hfx_10.vertsse,mn15-l_hfx_20.vertsse,mn15-l_hfx_30.vertsse,mn15-l_hfx_40.vertsse,mn15-l_hfx_50.vertsse,dlpno-CCSD_T.vertsse,delta.blyp.vertsse,delta.pbe.vertsse,delta.scan.vertsse,delta.m06-l.vertsse,delta.mn15-l.vertsse,delta.blyp_hfx_10.vertsse,delta.blyp_hfx_20.vertsse,delta.blyp_hfx_30.vertsse,delta.blyp_hfx_40.vertsse,delta.blyp_hfx_50.vertsse,delta.pbe_hfx_10.vertsse,delta.pbe_hfx_20.vertsse,delta.pbe_hfx_30.vertsse,delta.pbe_hfx_40.vertsse,delta.pbe_hfx_50.vertsse,delta.scan_hfx_10.vertsse,delta.scan_hfx_20.vertsse,delta.scan_hfx_30.vertsse,delta.scan_hfx_40.vertsse,delta.scan_hfx_50.vertsse,delta.m06-l_hfx_10.vertsse,delta.m06-l_hfx_20.vertsse,delta.m06-l_hfx_30.vertsse,delta.m06-l_hfx_40.vertsse,delta.m06-l_hfx_50.vertsse,delta.mn15-l_hfx_10.vertsse,delta.mn15-l_hfx_20.vertsse,delta.mn15-l_hfx_30.vertsse,delta.mn15-l_hfx_40.vertsse,delta.mn15-l_hfx_50.vertsse
0,co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_acetonitrile-N-1-0_4,co,-4.892070268276711,-6.816980361314791,-6.481885664834408,-12.4156988197592,-23.92486960709676,-10.318025333900778,-15.013801570609075,-19.08649099056106,-22.52406564458284,-25.50547835338989,-12.3334168742133,-17.108806269549177,-21.19506566067116,-24.62616302600054,-27.59285498703548,-11.908416980243146,-15.711126451249129,-19.32553244739779,-22.084304554201708,-24.896798993434004,-16.864700091196028,-20.656614152671864,-23.859624379180104,-26.56900210997378,-28.78170522555024,-27.698651366363265,-30.317144492387342,-31.850275592086064,-32.536283784284024,-32.66265026555516,-36.12575983005627,31.23368956177956,29.30877946874148,29.64387416522186,23.710061010297068,12.200890222959517,25.80773449615549,21.111958259447192,17.039268839495207,13.601694185473434,10.620281476666378,23.79234295584297,19.01695356050709,14.930694169385106,11.499596804055727,8.532904843020788,24.21734284981312,20.41463337880714,16.800227382658477,14.04145527585456,11.228960836622264,19.26105973886024,15.469145677384404,12.266135450876163,9.556757720082487,7.344054604506027,8.427108463693003,5.808615337668925,4.275484237970204,3.589476045772244,3.46310956450111
1,co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_imidazole-N-2-0_4,co,-3.471412453394578,-5.47066930934534,-6.051416517873349,-9.971683876964336,-20.944027055767265,-8.931452028293734,-13.800641141989445,-18.057918439711784,-21.66429907709471,-24.771332585334,-11.021245814031316,-15.951736130141398,-20.187416359266308,-23.7920525476909,-26.86147270860033,-11.25212798492953,,-17.7574334496137,-19.184988466953428,-22.6500953214304,-14.815042017454516,-19.07026266672574,-22.599472182721456,-25.495892972500087,-27.97648254423848,-24.45554579032091,-27.429216596435708,-29.47224710666888,-30.603926325206885,-31.05470363857762,-30.882714327163967,27.41130187376939,25.412045017818627,24.83129780929061,20.911030450199632,9.938687271396702,21.95126229887024,17.082073185174522,12.824795887452185,9.218415250069256,6.111381741829973,19.86146851313265,14.930978197022569,10.69529796789766,7.090661779473066,4.021241618563636,19.63058634223444,,13.125280877550267,11.69772586021054,8.232619005733568,16.06767230970945,11.812451660438228,8.28324214444251,5.38682135466388,2.906231782925488,6.427168536843055,3.453497730728259,1.410467220495093,0.2787880019570821,-0.1719893114136539
2,co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_acetonitrile-N-1-0_acetonitrile-N-1-0_4,co,-4.482215513332903,-7.015731604391249,-14.507492077859752,-15.272448271166468,-22.73709505029388,-14.775661632546644,-21.947597733344537,-28.47861538265988,-34.15468920270428,-38.95626830226775,-17.482915950622555,-25.003136321978445,-31.86380029555949,-37.8239395553328,-42.81103675862028,-21.47258173671844,-27.99042701166627,-33.950535139322255,-39.19794964908306,-43.92662787483346,-21.606097239041446,-27.617878785479206,-32.95362816390593,-37.5353203280622,-41.44423641866183,-30.71374063585722,-34.7216381466194,-37.60308176670151,-39.30833973954009,-40.15268555145781,-30.9363749903207,26.4541594769878,23.92064338592945,16.42888291246095,15.663926719154231,8.199279940026827,16.160713357774057,8.988777256976164,2.457759607660819,-3.218314212383575,-8.019893311947044,13.453459039698146,5.933238668342256,-0.9274253052387847,-6.887564565012099,-11.874661768299577,9.463793253602262,2.9459479786544307,-3.0141601490015546,-8.261574658762356,-12.990252884512756,9.330277751279256,3.3184962048414945,-2.017253173585232,-6.5989453377414975,-10.50786142834113,0.2226343544634801,-3.785263156298697,-6.666706776380806,-8.371964749219387,-9.216310561137108
3,co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_fluoride-F-0-d1_fluoride-F-0-d1_4,co,-6.839289068167318,-8.715328829187001,-5.1600103978069,-14.45876244931469,-26.335578644027464,-9.9000654951476,-12.768495174804002,-15.41214527767579,-17.693221347716417,-19.73752790522667,-11.89693629174485,-14.82703491374764,-17.43671331233145,-19.74714100340293,-21.755197249874527,-7.658200591976083,-10.288132460607358,-12.82489791718831,-15.244991828193406,-17.547639692745634,-17.13243181731059,-19.35950221470307,-21.375842271587544,-23.1655934954199,-24.619695991502795,-27.81188117761076,-28.522258647873286,-28.745953323159483,-28.507067942384765,-27.64336945353876,-31.03344045523272,24.194151387065403,22.31811162604572,25.87343005742582,16.57467800591803,4.697861811205257,21.13337496008512,18.26494528042872,15.62129517755693,13.340219107516305,11.29591255000605,19.13650416348787,16.206405541485083,13.596727142901273,11.286299451829793,9.278243205358194,23.37523986325664,20.745307994625364,18.20854253804441,15.788448627039315,13.485800762487088,13.901008637922132,11.673938240529653,9.657598183645176,7.867846959812823,6.413744463729927,3.221559277621964,2.511181807359435,2.287487132073238,2.5263725128479564,3.3900710016939684
4,co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_imidazole-N-2-0_SH2-S-0-0_imidazole-N-2-0_4,co,-5.483252618967072,-7.898775788980856,-11.45103641808987,-12.344808952030917,-25.310154391463584,-11.652116673697035,-17.51726773668679,-22.904557076700485,-27.72147960091047,-31.963471231340463,-14.488473180603023,-20.693955385036134,-26.377118701866493,-31.433593453380126,-35.86104138414612,-17.22204405444245,-22.726582648546128,-27.8461483987428,-32.57291579962157,-36.94777887592522,-17.451319210840666,-22.2708970974918,-26.67540352388187,-30.619164504748824,-34.11588703138705,-26.724081896577445,-29.375625720722383,-31.07379328449838,-32.24140517801857,-32.84136357185389,-30.577623199912978,25.094370580945903,22.67884741093212,19.126586781823107,18.23281424788206,5.267468808449394,18.92550652621594,13.060355463226188,7.673066123212493,2.8561435990025075,-1.3858480314274857,16.089150019309955,9.883667814876844,4.2005044980464845,-0.8559702534671487,-5.283418184233142,13.355579145470529,7.85104055136685,2.7314748011701795,-1.9952925997085915,-6.370155676012246,13.126303989072312,8.30672610242118,3.902219676031109,-0.0415413048358459,-3.538263831474069,3.853541303335533,1.2019974791905952,-0.4961700845854011,-1.6637819781055896,-2.263740371940912
5,co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_thiocyanate-S-0-d1_SH2-S-0-0_thiocyanate-S-0-d1_4,co,-8.292121427224401,-10.394243828477556,-12.491823919696117,-14.35992385337613,-22.48960684336339,-13.05809161869206,-18.49466620737076,-24.28575896748839,-29.97961145799536,-35.12190434354238,-15.629340933138565,-21.449347957404825,-27.59008415154767,-33.66192494179245,-39.03306966370224,-17.92915108465081,-23.79221357207598,-29.71453112162408,-35.31011274930279,-40.3690668035722,-18.31255296082645,-23.10334293492474,-28.296905999861792,-33.22504238747456,-37.58576891774965,-25.940684747376963,-29.401826541484297,-32.50082515956478,-35.11872089706799,-36.74387081048735,-33.37158954014626,25.07946811292186,22.977345711668704,20.879765620450144,19.01166568677013,10.88198269678287,20.3134979214542,14.876923332775505,9.08583057265787,3.3919780821509,-1.7503148033961224,17.742248607007696,11.922241582741435,5.781505388598589,-0.290335401646189,-5.661480123555975,15.442438455495449,9.57937596807028,3.6570584185221833,-1.9385232091565283,-6.997477263425935,15.059036579319809,10.26824660522152,5.074683540284468,0.146547152671701,-4.2141793776033865,7.430904792769297,3.969762998661963,0.8707643805814769,-1.7471313569217273,-3.372281270341091
6,co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_water-O-0-0_water-O-0-0_water-O-0-0_4,co,-10.810336167936612,-12.686765693648567,-10.125596779876105,-17.833709490097363,-32.137467974495166,-17.309415131824153,-21.36959894917481,-24.81501922178154,-27.61041329860745,-30.02071136276868,-19.039989945931666,-23.043568790830022,-26.33296139802724,-29.09101901246572,-31.41218970467321,-13.497121791162954,-16.559884819615718,-19.62763630902373,-22.41589770388032,-25.072187911229094,-22.74230255465796,-26.17996930239088,-29.051709380216835,-31.38535040984152,-33.414614248140424,-35.59318760700535,-37.7224806446975,-39.2606152397957,-39.73564158392719,-39.63719867777058,-42.30527378262877,31.49493761469216,29.618508088980207,32.17967700275267,24.47156429253141,10.167805808133608,24.99585865080462,20.93567483345396,17.490254560847234,14.69486048402132,12.284562419860094,23.265283836697108,19.26170499179875,15.972312384601535,13.214254770163052,10.893084077955564,28.80815199146582,25.745388963013056,22.67763747360505,19.88937607874845,17.23308587139968,19.56297122797082,16.1253044802379,13.25356440241194,10.919923372787252,8.89065953448835,6.712086175623426,4.582793137931276,3.0446585428330764,2.5696321987015835,2.6680751048581897
7,co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_amine-N-0-d1_4,co,-14.217650618786593,-14.834112012474634,-24.34813506175488,-18.375147358578943,-35.679092949775395,-25.175250664655096,-27.140679922351865,-29.26144080636277,-31.697117052051453,-34.27962322563076,-27.740266892335512,-29.98737448258794,-32.328385436895815,-34.978564072324616,-37.74606886473634,-26.32977623343664,-28.742088047931706,-31.60418383525439,-34.75351221535448,-38.03623230980179,-28.45370172856292,-29.849834742049097,-31.677817972872617,-33.84575487321058,-36.16812481395641,-35.27185002081865,-34.885644431242326,-34.62027426541681,-34.36730383358963,-34.114854986573846,-33.775838844935606,19.558188226149014,18.94172683246097,9.427703783180732,15.400691486356664,-1.9032541048397889,8.60058818028051,6.6351589225837415,4.514398038572836,2.078721792884153,-0.5037843806951514,6.035571952600094,3.788464362347668,1.4474534080397916,-1.20272522738901,-3.970230019800738,7.446062611498974,5.033750797003904,2.171655009681217,-0.97767337041887,-4.260393464866183,5.322137116372687,3.926004102886509,2.098020872062989,-0.0699160282749744,-2.3922859690208043,-1.4960111758830408,-1.1098055863067202,-0.8444354204812043,-0.5914649886540246,-0.3390161416382398
8,co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_imidazole-N-2-0_4,co,-5.812052912963281,-8.334981933131758,-21.29630206883689,-12.579465361111488,-25.42091751745147,-21.54608601773816,-26.337322524560705,-30.544213568168743,-34.194023492959786,-37.42893445595769,-24.580974114225,-29.716308197954504,-34.12986115108652,-37.96710712120103,-41.34831179175876,-26.10576981693612,-30.55614166200371,-34.653095619706846,-38.46304867692652,-42.04977342596749,-27.0563931112531,-30.673045911167947,-33.85582748514821,-36.69080529553753,-39.24718318162263,-37.47274847184599,-38.04968474938164,-38.21228363886917,-38.00786604254199,-37.54366289513882,-29.71613409750944,23.90408118454616,21.38115216437768,8.419832028672545,17.13666873639795,4.295216580057968,8.170048079771277,3.3788115729487345,-0.8280794706593042,-4.477889395450347,-7.712800358448248,5.135159983284439,-0.000174100445065,-4.413727053577077,-8.250973023691586,-11.632177694249322,3.6103642805733216,-0.8400075644942717,-4.936961522197407,-8.74691457941708,-12.333639328458048,2.659740986256338,-0.9569118136585076,-4.139693387638772,-6.974671198028091,-9.531049084113192,-7.75661437433655,-8.333550651872201,-8.496149541359728,-8.291731945032552,-7.827528797629384
9,co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_imidazole-N-2-0_imidazole-N-2-0_4,co,-2.430474153918567,-4.877618549937779,-7.386683455215461,-9.060002460696523,-21.67175362720513,-8.7893916817427,-14.546486866240684,-19.652713021508816,-24.14020050837053,-28.08810578043108,-11.61481405714312,-17.68052636282391,-23.046397888177808,-27.743139671667905,-31.869679577654324,-13.313314581624809,-18.748376207613543,-23.740627102929466,-28.33312505921981,-32.584843317897594,-14.148858262196882,-18.74521572785284,-22.8763211959415,-26.57185068615377,-29.890669788408104,-24.315422283791577,-26.15152593334642,-27.333880396797667,-27.987133249918088,-28.237381924000147,-27.4983702599377,25.06789610601913,22.62075170999992,20.11168680472224,18.438367799241178,5.826616632732566,18.708978578195,12.951883393697017,7.845657238428885,3.358169751567175,-0.5897355204933774,15.88355620279458,9.81784389711379,4.451972371759894,-0.2447694117302035,-4.371309317716623,14.185055678312892,8.749994052324155,3.7577431570082354,-0.8347547992821092,-5.086473057959893,13.34951199774082,8.753154532084864,4.622049063996201,0.9265195737839348,-2.392299528470403,3.1829479761461243,1.346844326591281,0.1644898631400337,-0.4887629899803869,-0.7390116640624456
