,scan_hfx_25,scan_hfx_35,scan_hfx_40,scan_hfx_5,scan_hfx_50,scan_hfx_60,scan_hfx_65,scan_hfx_75,scan_hfx_80,scan_hfx_90,scan_hfx_95,pbe_hfx_0,pbe_hfx_10,pbe_hfx_100,pbe_hfx_15,pbe_hfx_20,pbe_hfx_25,pbe_hfx_30,pbe_hfx_35,pbe_hfx_40,pbe_hfx_45,pbe_hfx_5,pbe_hfx_50,pbe_hfx_55,pbe_hfx_60,pbe_hfx_65,pbe_hfx_70,pbe_hfx_75,pbe_hfx_80,pbe_hfx_85,pbe_hfx_90,pbe_hfx_95,scan_hfx_0,scan_hfx_10,scan_hfx_100,scan_hfx_15,scan_hfx_20,scan_hfx_30,scan_hfx_45,scan_hfx_55,scan_hfx_70,scan_hfx_85
Co_CULQIJ_comp_0_411,-0.9144760315213344,-8.79412819892694,-12.842125033602013,13.846336021080084,-21.073122161691494,-29.429780967021816,-33.64275739592301,-42.06821026303791,-46.30674131650308,-54.69108020819334,-58.89798774327424,17.82061874197918,12.631706811827819,-56.81684622381625,8.75818028096112,4.83413712715415,0.8439251677197295,-3.176001253579315,-7.245033527257467,-11.332086123040543,-15.4185563726599,16.449728470326544,-19.469662710404965,-23.485337485014757,-27.466615497539546,-31.38743674887744,-35.26151156499965,-39.0634180935943,-42.794036769559455,-46.43047966076077,-49.987722100553064,-53.498345948392085,17.365796283013612,10.26779831093415,-62.99366056988407,6.6284579105889945,2.84062007801838,-4.819946158056949,-16.938772888737038,-25.238385250424933,-37.80086119918311,-50.50441601779354
Co_LOFFUH_comp_0_321,0.10767097358991987,-7.947399666251577,-12.027772045081543,15.605508592511857,-20.272881056424602,-28.523347309416437,-32.73159258222995,-41.04881120691865,-45.18149899743411,-53.3748703421421,-57.44034508662073,,15.693339459176624,-55.241755318299866,11.11442139781552,6.835941055260638,2.4583254902609992,-1.859377277630219,-6.1177547381556865,-10.32187003267939,-14.47264220361749,20.04060967274768,-18.56836922828278,-22.605117191912797,-26.577667110834117,-30.41826075845003,-34.29117634485405,-38.041775959078656,-41.68377812514662,-45.30407113696666,-48.688841918202435,-52.01793635655617,19.223871785160153,11.83604062397683,-61.41214658327295,7.988929368983531,4.082887289024573,-3.9014001150997144,-16.13824844403762,-24.42508636999541,-36.90492571176961,-49.34509078341644
Mn_MEDHOS_comp_0_3111,-31.30763949620704,-39.599678759866826,-43.5531985686933,-13.637123402276304,-51.35999513144943,-58.88700164048486,-62.57661873329051,-69.80834753395597,-73.30153282029906,-80.21389619108947,-83.61572109745143,-1.9722013394406959,-13.318150843384414,-82.68565148437318,-18.449435078933845,-23.276858722092783,-27.8297833578156,-32.17118628731288,-36.33404293330215,-40.35242966069739,-44.160596019896865,-7.831736246132508,-48.054194245440385,-51.73400031995375,-55.42621124129245,-59.01551715709953,-62.538057841834345,-66.01119054107599,-69.49188712270735,-72.81387559074538,-76.19102847873087,-79.42529140861596,-8.890412018670302,-18.247268482996205,-86.964335534627,-22.732884622124796,-27.102641260485484,-35.48433324333473,-47.516675943438905,-55.16598678661082,-66.19294363446552,-76.77958262720769
Fe_SEDQOI_comp_0_111111,-19.69154298381184,-29.54465711736755,-34.40099134406556,0.5042605822643927,-43.91383159707282,-53.12792769537758,-57.68076931744582,-66.78735328372595,-71.3058729414773,-80.17904286410585,-84.52689097839016,13.534885518791649,1.476294752504333,-86.25326823012767,-4.376812966219605,-10.11257870470462,-15.713398081600928,-21.20595705187629,-26.585489199032224,-31.85672445682519,-37.021126619338055,7.4533649053120445,-42.01735585220796,-47.031880488067834,-51.85067376219903,-56.616882690514885,-61.23928875850614,-65.7432647712848,-70.18130258041828,-74.40050584568449,-78.49105481244331,-82.44660294718369,5.65113819876403,-4.60441790702329,-88.81846108973944,-9.673345952846972,-14.704501713890311,-24.63931303488046,-39.15024142888065,-48.51116845823707,-62.2499343214441,-75.76531123376357
Mn_VUMSON_comp_0_111111,-90.69097803544311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110.36320741777442,-111.44254566890508,-112.18438576808599,,,,,-88.70371043044966,-93.53457752949869,,,,
Co_CEWTUT_comp_0_42,-9.528261470736723,-17.20625085041225,-21.127235354808285,4.840901057887827,-29.079312650824946,-37.11396273635007,-41.09456979675207,-49.146719509255554,-53.149380425592796,-61.035951672906805,-64.94005970668513,9.22776021267909,1.9714392456671577,-62.01706845518269,-1.7196472199713475,-5.460958799316475,-9.229190064277347,-13.028591810320137,-16.840816225309066,-20.651796314524823,-24.446442033242537,5.6140481996723635,-28.211066807554094,-31.933016068663424,-35.60104933219872,-39.20521792257105,-42.692468699048234,-46.18107142865491,-49.54498212055907,-52.814222989580934,-55.98432053684035,-59.05144907903419,8.186021484569494,1.39572201691776,-68.75520381883351,-2.151823963856459,-5.795436115221945,-13.335908951684372,-25.088288776668733,-33.09085547475004,-45.15557919445948,-57.156193971942294
Co_VARVOA_comp_0_51,-6.142504833349698,-13.066788799486861,-16.66055488024823,6.836089954523233,-24.190393484373665,-32.07041071975637,-36.08737438964329,-44.13380318021712,-48.20737246006672,-56.31037745474098,-60.39851273037566,12.749742564415902,6.007806416093718,-58.64408091390583,2.5620895833399118,-0.9574716825041196,-4.531448207519851,-8.150564394158657,-11.813870033482921,-15.518388443756333,-19.25948975559154,9.39720253494556,-23.02737009349375,-26.80449908315413,-30.569743571552124,-34.3034944234262,-37.9134703595542,-41.59366791706914,-45.17248990033916,-48.66832737921301,-52.16060142169023,-55.41273929773356,9.883352688733305,3.69645374675439,-64.36631380043914,0.4879252027402681,-2.7831425630806375,-9.565242175410305,-20.37235612233579,-28.097895820546324,-40.04264299904691,-52.26987223153307
Co_ZEZJAP_comp_0_222,-60.492459916798815,-74.60512423361115,-81.46019928784708,-31.30393818450021,-94.54563393227387,-106.50341272259843,-111.95509624482338,-121.74856388696746,-126.15442615526939,-134.21076987384708,-137.8453712690459,,-27.03193032051697,-132.28315777258604,-35.60346297395591,-43.68560945761396,-51.892383611614044,-60.032889777516644,-67.96122279785475,-75.48003207001362,-83.10301193835959,-18.89847967448195,-89.9819409747492,-96.4762023800855,-102.33562938233831,-107.59690005597344,-112.44759181608678,-116.74899251972148,-120.59499655977758,-124.04872668532256,-127.12941971982661,-129.86536254472088,-23.980683397732953,-38.64843504174813,-141.38929758504545,-45.97505278603948,-53.26229571352001,-67.59708584250353,-88.13384616108503,-100.72755010798012,-117.01784077163484,-130.2665215054731
Fe_KAWTUX_comp_2_33,-17.745797560796117,-25.233245919316225,-28.92399906819774,-1.6240855301765795,,,,,,,,12.104766171355642,0.8765392749185967,,-4.315094807571188,-9.277483862394574,-14.001801863060983,-18.573463123255113,-23.047616815672797,-27.4711910826933,-31.875712592176882,6.332347135616746,-36.26299784218969,-40.64720571160345,-44.83219526684077,-49.4998139636513,,,,,,,2.82945311158382,-5.879838661102526,,-9.96267774573223,-13.913269784334515,-21.513152308825035,,,,
Fe_GESJOG_comp_0_3111,,,,-9.889844759703669,,,,,,,,2.885845164143562,-9.202431179352613,-67.77369367732683,-14.659307998174913,-19.595564398596554,-24.214471629833124,-28.44058386591328,-32.41337096332129,-36.32162531327953,-39.69619101757964,-3.3868072932162168,-43.18355588591454,-46.37511672919921,-49.40569066993104,-52.24412983880042,-54.89710710850019,-57.38974482209548,-59.734363018282934,-61.92716255405607,-63.98877413253223,-65.93337750994918,,-14.107718640808995,,,,,,,,
