,pbe_hfx_0,pbe_hfx_10,pbe_hfx_100,pbe_hfx_15,pbe_hfx_20,pbe_hfx_25,pbe_hfx_30,pbe_hfx_35,pbe_hfx_40,pbe_hfx_45,pbe_hfx_5,pbe_hfx_50,pbe_hfx_55,pbe_hfx_60,pbe_hfx_65,pbe_hfx_70,pbe_hfx_75,pbe_hfx_80,pbe_hfx_85,pbe_hfx_90,pbe_hfx_95,scan_hfx_0,scan_hfx_10,scan_hfx_100,scan_hfx_15,scan_hfx_20,scan_hfx_25,scan_hfx_30,scan_hfx_35,scan_hfx_40,scan_hfx_45,scan_hfx_5,scan_hfx_50,scan_hfx_55,scan_hfx_60,scan_hfx_65,scan_hfx_70,scan_hfx_75,scan_hfx_80,scan_hfx_85,scan_hfx_90,scan_hfx_95
mn/2/mn_2_ammonia-N-0-0_ammonia-N-0-0_ammonia-N-0-0_formaldehyde-O-1-0_ammonia-N-0-0_formaldehyde-O-1-0_6,-53.37487352930623,-62.29744436596996,-109.70799457380173,-66.19163444224063,-69.86949353771826,-73.28818307390809,-76.50728508226254,-79.52683366221319,-82.50666718338407,-85.31585208361513,-57.96437131319519,-87.95810940412646,-90.48616930556081,-92.90642276352075,-95.21161052675507,-97.56277142042693,-99.75355489911306,-101.86755122685913,-103.91724990452583,-105.90549505661468,-107.83514604275108,,,-112.25624568286025,,,,-81.89572553904702,-83.39358861004193,-85.57442625045428,-88.92774470345556,,-91.19769864084962,-93.76243721000915,-95.97783933170358,-98.17142251848186,-100.32874646436679,-102.44377447134602,-104.50957461968275,-106.50353304938697,-108.40953463340821,-110.34485906288761
fe/2/other/fe_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_formaldehyde-O-1-0_5,-44.78062291126614,-50.898864354408985,-85.81914639927341,-53.7652696528384,-56.49254865161436,-59.08335870111446,-61.53464450773853,-63.8158268816873,-66.07079334802167,-68.13738516678099,-47.89767473653209,-70.10722773625032,-71.98594981712425,-73.77962113475645,-75.49493935317689,-77.13904980698894,-78.71821021828674,-80.23818880510015,-81.70403821218243,-83.12025800301849,-84.49079868308817,-38.09731296961226,-44.547807682790406,-94.2400543478087,-47.72339130743632,-50.86286801860047,-53.908583718641474,-56.93816109287816,-59.87049345671446,-62.74936176421878,-65.57764732818247,-41.35509018913901,-68.3633012978315,-71.10214779474752,-73.80090164610611,-76.460030622246,-79.08498830169547,-81.67682272212357,-84.2396756716486,-86.77493454800945,-89.28564374726757,-91.77327594841425
fe/2/a_f/fe_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_water-O-0-0_water-O-0-0_5,-25.262799230070147,-33.28929838733735,-73.65402353809125,-36.86591349858373,-40.18808521471884,-43.280454126209726,-46.16621103823821,-48.89948449675518,-51.376145669722455,-53.80397342649721,-29.428159506050097,-56.01545607326016,-58.21206318879336,-60.21106077209272,-62.151570724588005,-63.99359882428206,-65.77475500905159,-67.46323696870932,-69.09908712707906,-70.66925822187427,-72.18887691439481,-21.551972220929528,-28.991475718446672,-81.72403612867545,-32.50975266615678,-35.963857415749416,-39.29347489815455,-42.530246356201346,-45.69458717323285,-48.77433420026861,-51.7859313823037,-25.333709295457947,-54.734506649821796,-57.62181981636615,-60.461011388820225,-63.24769449159516,-65.99369185963155,-68.6969928837557,-71.36532268607172,-73.99861941878805,-76.60178611528436,-79.1758804586173
fe/2/other/fe_2_chloride-Cl-0-d1_chloride-Cl-0-d1_chloride-Cl-0-d1_misc-C-4-0_misc-C-4-0_misc-C-4-0_5,-18.949498438853386,-28.72132604446559,,-33.11685891502929,,-41.01081312972338,-44.48239410550704,-47.78527184523384,,,-24.001891046042097,,,,,,,,,,,-20.14291997525571,,,-31.704209074172816,,,-42.36238107293275,-45.62976091832965,-49.1442803171088,-52.18734943704127,-24.090228820473627,,-58.3871347207653,-61.46721431877478,,-67.27041533915143,-70.00011936432955,-72.755445558038,,,
mn/2/mn_2_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_6,,-56.004205382201434,,,,-69.0567112017397,-72.4478169095476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cr/2/cr_2_furan-O-0-0_furan-O-0-0_ome2-O-0-0_ome2-O-0-0_furan-O-0-0_ome2-O-0-0_5,,-66.98963829383976,-88.48442542449384,-68.88139820192147,-71.27690624826916,-72.21516868944201,-73.67746550801414,-75.07545392906644,-76.38354622222018,-77.62427317146003,-64.9076023834773,-78.81234866537582,-79.94556383429484,-81.03692741631005,-82.08314171985036,-83.0934379099323,-84.06683982772743,-85.00853885593662,-85.91928689363152,-86.79887212266652,-87.65425156330102,,,-112.16585221724803,,,,,,,,,,,-100.87027808657537,-102.3471139865315,-103.79971547324986,-105.24913548674309,-106.66439394024809,-108.06106704243805,-109.44328652712554,-110.81080905865308
cr/3/cr_3_amine-N-0-d1_amine-N-0-d1_amine-N-0-d1_amine-N-0-d1_pyridine-N-3-0_pyridine-N-3-0_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
co/2/co_2_furan-O-0-0_furan-O-0-0_furan-O-0-0_furan-O-0-0_pyridine-N-3-0_pyridine-N-3-0_4,-7.419040505464167,-13.794725902932552,-49.80210787925098,-16.917237370585465,-19.861630090154023,-22.76376432135075,-25.404810659749646,-27.991565041336514,-30.265618005373554,-32.33873365260123,-10.528477477113835,-34.355256924772824,-36.48665886414821,-38.30494782432334,-39.98945567981813,-41.593162938322834,-43.08804164517186,-44.462522861452314,-45.9032734757844,-47.29964209350994,-48.57523656315774,-9.857043626837783,-15.639527974275742,-53.126051624679675,-18.21465949226727,-21.065944328515265,-23.64772663305686,-26.248895475599205,-28.658729497649773,-30.98431980125982,-33.20073298977629,-12.785754498466439,-35.34717870877502,-37.402234759212526,-39.37808529085267,-41.28981246055293,-43.12548747577109,-44.88634222694697,-46.54608817456568,-48.22163557224606,-49.8824763670985,-51.5179958792346
fe/2/other/fe_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_thiocyanate-S-0-d1_5,-27.475610371247587,-36.72365761064818,-85.06908132298868,-41.02580033140508,-45.10243260039093,-48.970818974893426,-52.57490710171344,-56.01291957144829,-59.20004278421896,-62.201417595478794,-32.206524620261796,-64.99255335215597,-67.60218033758386,-70.06051934753881,-72.33192003429374,-74.48277290813688,-76.49410360481093,-78.39590982145735,-80.19845408129802,-81.90024888498569,-83.52423165002185,-27.043370925922318,-35.03572207157375,-93.19322661690528,-38.94919338372896,-42.792614758744485,-46.53947032746667,-50.24641042060191,-53.84243440296921,-57.33972492991228,-60.756303426159576,-31.06362016736764,-64.07564195371262,-67.32993999394503,-70.46303909268163,-73.52440934045738,-76.5159358730822,-79.4411903441233,-82.29846776973294,-85.09853557654475,-87.84470644342025,-90.54171528232986
fe/3/fe_3_cs-C-0-0_cs-C-0-0_cs-C-0-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_6,11.986059065145986,-1.343223470136968,,-7.337040277191703,-13.054082198217612,-18.546086960631023,-23.857997256230473,-28.99102097855549,-33.965065582171235,-38.59802406749142,5.0700132502379995,-43.25622710445899,-47.783060532610826,-52.09243790789602,-55.899983141913474,-59.86567426880812,-63.75370178804129,,,,,4.841191197973527,-5.379588030678754,-80.45402052372481,-10.17182647372348,-14.898714347684907,-19.514341296759987,-24.07982323413211,-28.574985470841508,-32.99491698134279,-37.3205873487812,-0.46896387877538703,-41.336308786567,-45.491614941734746,-49.549514072754,-53.81186557908669,-57.54498449413275,-61.59564349660013,-65.54571851234867,-69.42967965760508,-73.19129171059934,-76.8544931234646
