,e_corr,e_ccsd,e_ccsdt,e_hf,ecorr_t
Co_AFULAO_comp_0_411,-4.150936527,-2245.632447377,-2245.812934162,-2241.6619976350003,95.65190207496036
Fe_XIQFIN_comp_1_111111,-3.704744518,-4205.527281635,-4205.711432453,-4202.006687935001,95.0293247724337
Co_ZEZJAP_comp_0_222,-3.774695078,-2231.950903146,-2232.095000767,-2228.3203056889997,96.18253612485508
Fe_RUHLUB_comp_0_411,-3.588967332,-2795.5874152,-2795.724401116,-2792.1354337840003,96.18313839809153
Fe_LOJJEZ_comp_0_411,-3.823108426,-2465.525092529,-2465.668470681,-2461.845362255,96.2496969475205
Co_PODWAG_comp_0_222,-3.995301603,-2261.092702749,-2261.250567771,-2257.255266168,96.04873329509236
Fe_VOBHUP_comp_0_2211,-3.842550879,-4021.401703154,-4021.553351481,-4017.710800602,96.05344647930562
Fe_SEDQOI_comp_0_111111,-3.258220115,-1974.13511822,-1974.289887914,-1971.031667799,95.24986991249244
Fe_EMEBEF_comp_0_111111,-1.959546478,-1719.801156158,-1719.8525213,-1717.892974822,97.37872295570375
Fe_NAXPAD_comp_0_33,-3.904702846,-2749.650452614,-2749.800424433,-2745.895721587,96.15920020255906
Fe_EVOKOP_comp_1_111111,-3.704641552,-4205.527250124,-4205.711376669,-4202.006735117,95.02984182367209
Fe_GLYCFE_comp_2_111111,-3.590511978,-2135.76257692,-2135.88053154,-2132.290019562,96.71482449514623
Fe_XILLEK_comp_0_111111,-3.556010961,-2149.15621594,-2149.280160716,-2145.724149755,96.514499607589
Mn_MNACAC_comp_0_2211,-3.614560877,-1992.174879825,-1992.309854464,-1988.695293587,96.26580811354634
Fe_SELFAQ_comp_1_111111,-2.566681511,-1821.934466342,-1822.043787975,-1819.477106464,95.74074023086044
Fe_CACDIW_comp_0_111111,-1.882017408,-1601.282285745,-1601.333340614,-1599.451323206,97.28722652707704
Co_CEWTUT_comp_0_42,-3.750920458,-2215.913629257,-2216.05884119,-2212.3079207319997,96.12863203510804
Fe_ACAKOF_comp_0_111111,-2.62911635,-1859.967471126,-1860.083238671,-1857.4541223209999,95.59671275103811
Fe_CACDOC_comp_1_111111,-1.882013972,-1601.281416384,-1601.33248249,-1599.450468518,97.28662450121745
Mn_PUKJIR_comp_0_111111,-1.944064218,-1607.778498919,-1607.826834408,-1605.88277019,97.51368866560682
Mn_AQAWIY_comp_0_411,-3.594874662,-2682.922598299,-2683.064345945,-2679.4694712829996,96.05695165125364
Fe_NEJBOT_comp_0_111111,-3.554358657,-2063.35648153,-2063.493887448,-2059.9395287909997,96.13415720642082
Fe_AMAVOB_comp_0_111111,-1.995081009,-1720.401972319,-1720.451019799,-1718.4559387900001,97.54157952589712
Fe_QAXDOJ_comp_2_222,-2.906580875,-1833.014960894,-1833.111420795,-1830.20483992,96.68132747209481
Co_ADETCO_comp_0_3111,-2.603021307,-2277.952029624,-2278.0464364,-2275.443415093,96.37318466251392
Fe_MICYFE10_comp_1_111111,-3.667961376,-2057.354814384,-2057.504445528,-2053.8364841519997,95.92059106786388
Fe_WABHIR_comp_0_111111,-3.864745045,-2964.874051432,-2965.008522972,-2961.143777927,96.52055857672343
