Unnamed: 0,Tuned LS PBE,Tuned HS PBE,Tuned LS SCAN,Tuned HS SCAN,DLPNO-CCSD(T) SSE,Tuned LS PBE SSE,Tuned HS PBE SSE,Tuned LS SCAN SSE,Tuned HS SCAN SSE
Co_ADETCO_comp_0_3111,39.56520080566406,45.52604675292969,37.35115051269531,42.37464904785156,-7.007767517684441,-17.564470851279694,-22.1442608931251,-16.98041544792735,-20.869688924380252
Co_AFULAO_comp_0_411,37.32414245605469,40.68977355957031,31.631851196289062,36.52359008789063,-5.074985314940932,-15.53128727226328,-17.904670622975836,-12.300211831909946,-15.808059096438381
Co_BOTQEH_comp_0_222,38.4906005859375,44.498138427734375,35.25032043457031,41.41403198242188,-10.755486167726076,-19.037940131119477,-23.835362873292844,-17.014625183598493,-22.038348359461803
Co_CAASPC_comp_3_33,35.64247131347656,41.70417785644531,28.450698852539062,38.99185180664063,-14.24981529741899,-21.01654826516702,-25.90223016994237,-15.590814628347642,-24.18027594299997
Co_CEWTUT_comp_0_42,38.74519348144531,42.18421936035156,35.58921813964844,38.96888732910156,-10.720108972469689,-19.69538778291881,-22.309464043424505,-17.668313889466365,-20.31863999383245
Co_CULQIJ_comp_0_411,37.20954895019531,43.3441162109375,34.44099426269531,41.80976867675781,-0.7074930727435458,-9.051142081738572,-14.065212404493725,-8.349810086539025,-14.324922027188101
Co_DABUCO_comp_1_33,38.44200134277344,,,,-5.3094808100684086,-13.925734487751692,,,
Co_DATMCO_comp_1_111111,40.68199157714844,41.82525634765625,37.5860595703125,38.78608703613281,-3.789192007533302,-13.324390000669977,-14.237604982724186,-11.261365242470866,-12.247964450000026
Co_DAYKOD_comp_1_2211,37.364349365234375,42.05360412597656,33.87992858886719,40.73234558105469,-1.5443672327171498,-11.302390906698687,-15.095032344399756,-9.667948937704969,-15.217388319619966
Co_DETCON_comp_0_33,32.49198913574219,48.11622619628906,30.97274780273437,46.22360229492188,-4.5001256624885855,-13.330325453802832,-27.519548288624005,-14.603248247751878,-27.858700117300632
Co_DOCZOK_comp_0_2211,38.6248779296875,40.88302612304688,30.594711303710938,40.702056884765625,-5.868915885062052,-14.72800718813656,-16.480702195545764,-9.421565506661912,-17.325582321578345
Co_ENGCOA_comp_0_222,39.85679626464844,42.95204162597656,35.20133972167969,39.48219299316406,-12.83751987258256,-21.41322512514488,-23.703870559225116,-18.181535346985267,-21.474322965386975
Co_GASCEI_comp_0_33,39.88365173339844,42.61161804199219,37.00675964355469,38.72474670410156,-2.042517519997773,-12.843194704525247,-14.906435006107108,-11.292632999646381,-12.623084987301072
Co_ILASAR_comp_0_51,38.2275390625,50.90293884277344,32.93418884277344,49.026641845703125,-1.7591065176100074,-23.55499541243763,-39.23438973064954,-23.237672647516025,-42.85158307387157
Co_LOFFUH_comp_0_321,40.0,39.590606689453125,35.458984375,34.87052917480469,-6.386750847477742,-10.32187003267939,-9.977642697010229,-8.321965099464485,-7.842631886126078
Co_LUJXAP_comp_0_321,38.3111572265625,40.5999755859375,34.72770690917969,40.69175720214844,-2.749074362654937,-13.330618140332122,-15.235751243391448,-11.77632797274203,-16.633532025374354
Co_PODWAG_comp_0_222,39.337921142578125,40.85823059082031,33.285064697265625,36.367034912109375,-5.93760768262996,-15.811757373940255,-16.984413921468782,-11.492086498229703,-13.896659634363518
Co_QOJFOK_comp_0_321,34.64805603027344,44.112701416015625,30.0,42.29904174804688,-6.392808104839106,-13.899905788863009,-21.5483759296867,-11.343262691202952,-21.3032633811867
Co_SEVMUB_comp_0_42,43.43284606933594,41.326751708984375,,38.58879089355469,-11.896205867782328,-25.45454769676904,-23.857218655667026,,-22.522827103065005
Co_VARVOA_comp_0_51,36.91650390625,37.74757385253906,35.0,36.89994812011719,-2.6170471076591184,-13.233814834295726,-13.84955761754628,-13.06678879948686,-14.432382621343557
Co_YICJAV_comp_0_411,37.04032897949219,36.59217834472656,33.45741271972656,40.0,-7.0584237100842975,-11.88456391900659,-11.51551822796813,-15.962322375204213,-21.050111922241037
Co_ZEZJAP_comp_0_222,45.0,50.412139892578125,34.69017028808594,51.71890258789063,-68.38589940771612,-83.10301193835959,-90.5172498143431,-74.17086453045124,-96.67085627478276
Fe_ACAKOF_comp_0_111111,35.0,48.0364990234375,31.3330078125,45.97984313964844,-22.27850209748283,-24.03187028194416,-33.39296485813782,-20.765252237645292,-31.83271103935331
Fe_AMAVOB_comp_0_111111,45.50140380859375,55.864105224609375,42.16400146484375,53.71604919433594,-55.13852665496529,-60.825500976545214,-64.85364428658698,-56.011922387560865,-62.64724968640426
