,scan_hfx_25,scan_hfx_35,scan_hfx_40,scan_hfx_5,scan_hfx_50,scan_hfx_60,scan_hfx_65,scan_hfx_75,scan_hfx_80,scan_hfx_90,scan_hfx_95,pbe_hfx_0,pbe_hfx_10,pbe_hfx_100,pbe_hfx_15,pbe_hfx_20,pbe_hfx_25,pbe_hfx_30,pbe_hfx_35,pbe_hfx_40,pbe_hfx_45,pbe_hfx_5,pbe_hfx_50,pbe_hfx_55,pbe_hfx_60,pbe_hfx_65,pbe_hfx_70,pbe_hfx_75,pbe_hfx_80,pbe_hfx_85,pbe_hfx_90,pbe_hfx_95,scan_hfx_0,scan_hfx_10,scan_hfx_100,scan_hfx_15,scan_hfx_20,scan_hfx_30,scan_hfx_45,scan_hfx_55,scan_hfx_70,scan_hfx_85
Co_ADETCO_comp_0_3111_HS,-2280.1668104275127,-2280.0983625729273,-2280.065320614474,-2280.313992593778,-2280.001514546365,-2279.940614825232,-2279.9112074915897,-2279.8543660721143,-2279.8269193992937,-2279.773843077351,-2279.748169868186,-2279.373022275385,-2279.3980845464203,-2279.8733881540047,-2279.413018154483,-2279.4295218653738,-2279.4475479071357,-2279.467055354495,-2279.488004867639,-2279.5103534196937,-2279.5340571099073,-2279.3847779945577,-2279.559072503444,-2279.585358468298,-2279.612877291316,-2279.6415947695127,-2279.671479068181,-2279.702498770894,-2279.734607175403,-2279.7677939168375,-2279.802013526853,-2279.8372249834965,-2280.352973919051,-2280.27586748043,-2279.7230418301638,-2280.238613871597,-2280.2022187109333,-2280.132187328798,-2280.0330443985263,-2279.970711111547,-2279.8824048447536,-2279.800085316778
Co_ADETCO_comp_0_3111_LS,-2280.154608539817,-2280.0741851821303,-2280.035012939589,-2280.323970282584,-2279.95871347875,-2279.885095169928,-2279.8492734781657,-2279.7795656112567,-2279.7456621375864,-2279.679708516725,-2279.6476375140815,-2279.3908072176814,-2279.4051037565623,-2279.776182909173,-2279.4143977056237,-2279.425105348035,-2279.4372199100667,-2279.4507211134255,-2279.465596166164,-2279.4818309831294,-2279.499410481787,-2279.397237591362,-2279.5183187704865,-2279.5385389916996,-2279.560053202355,-2279.5828422995864,-2279.606885949037,-2279.6321625058617,-2279.658648943679,-2279.6863208033,-2279.715152177578,-2279.745115751177,-2280.368127979991,-2280.280547132498,-2279.6161113333283,-2280.237850676909,-2280.1958729467783,-2280.1140480416343,-2279.9965246130223,-2279.9215726925313,-2279.8140997492096,-2279.712379813067
Co_AFULAO_comp_0_411_HS,-2248.0347655907785,-2247.935364184566,-2247.8874406578,-2248.2488911588107,-2247.7949121691704,-2247.706409782764,-2247.6638118419764,-2247.5813567996297,-2247.541532126005,-2247.464556802517,-2247.4276551117455,-2247.2428185099743,-2247.240963817901,-2247.5784576040614,-2247.2433030022594,-2247.2477991023543,-2247.2543999538957,-2247.2631151913547,-2247.273920336514,-2247.2867702401263,-2247.3015802101345,-2247.240787892683,-2247.3182994304016,-2247.3368491182546,-2247.357162615968,-2247.379085808674,-2247.402878318195,-2247.428240864906,-2247.4551881626553,-2247.483671074623,-2247.5136823062944,-2247.5452358380567,-2248.3056631147447,-2248.193418845133,-2247.391417400936,-2248.1392536510994,-2248.0863612514468,-2247.984445302136,-2247.8406407728917,-2247.750216090527,-2247.622112231084,-2247.5025947587546
Co_AFULAO_comp_0_411_LS,-2248.0224559935305,-2247.9119447046355,-2247.858205030805,-2248.2559892484214,-2247.7536849585185,-2247.6530191162196,-2247.6040967536783,-2247.5090014888624,-2247.4626952244644,-2247.3729350674907,-2247.3293787725656,-2247.2561605663573,-2247.244757109172,-2247.4842570214755,-2247.2421640004695,-2247.2416009051303,-2247.243034778988,-2247.2464350646146,-2247.251773451885,-2247.259021685539,-2247.2681459069204,-2247.2494093898736,-2247.279127828211,-2247.291937908519,-2247.306543630966,-2247.322915843689,-2247.3410236423283,-2247.360835297295,-2247.3823180051295,-2247.4053441107744,-2247.4301488424653,-2247.4564480378167,-2248.3170845270874,-2248.19600037799,-2247.2865539865643,-2248.137093334784,-2248.079248365103,-2247.9666933714825,-2247.8054564018985,-2247.702877167821,-2247.556095751131,-2247.417465681514
Co_BOTQEH_comp_0_222_HS,-2121.1977652653736,-2121.113199688604,-2121.072380864712,-2121.379732493972,-2120.99353512578,-2120.9182462201425,-2120.8818034477163,-2120.8115271731117,-2120.777511123645,-2120.7116378441224,-2120.6797250787,-2120.466822879623,-2120.4696850117252,-2120.8060475151224,-2120.474144079301,-2120.4805505423683,-2120.4888436375295,-2120.49898209641,-2120.5109055890134,-2120.52455942898,-2120.539890974017,-2120.467229713882,-2120.5568512865166,-2120.5753942872216,-2120.59547565688,-2120.617051396171,-2120.6400090812467,-2120.664491549123,-2120.6902789747537,-2120.7173743052167,-2120.7457312051324,-2120.7753037579596,-2121.428133329768,-2121.332524887095,-2120.6484590590208,-2121.286488229991,-2121.2415743541246,-2121.1549844801034,-2121.032501148245,-2120.9554583254617,-2120.8462996820053,-2120.744223983969
Co_BOTQEH_comp_0_222_LS,-2121.1838023323517,-2121.086409877037,-2121.039104565705,-2121.3902474811525,-2120.9471928715925,-2120.858774306441,-2120.815835943937,-2120.7324222098855,-2120.6919144804356,-2120.613155841002,-2120.5749791977537,-2120.486440941601,-2120.476352227743,-2120.705578004569,-2120.4743026239953,-2120.4741867911775,-2120.475964820172,-2120.4795950353177,-2120.485046806902,-2120.492283227486,-2120.501270041436,-2120.480374582731,-2120.511972826746,-2120.5243573143607,-2120.5383890087037,-2120.554032870945,-2120.5712532061484,-2120.590013517936,-2120.610276503697,-2120.6320040987957,-2120.655087551282,-2120.6796888215176,-2121.4444169332005,-2121.337125586546,-2120.537450317112,-2121.2850252799617,-2121.2339257359463,-2121.1346367105143,-2120.9927042359236,-2120.9025547470756,-2120.7737239169173,-2120.6521839679976
Co_CAASPC_comp_3_33_HS,-2405.1239198875123,-2405.013287493816,-2404.959732172141,-2405.3606028891545,-2404.8560066550585,-2404.7564915323514,-2404.708402531489,-2404.6149037881405,-2404.5695254011334,-2404.4813218240147,-2404.4384330837033,-2404.2844948822403,-2404.271174617174,-2404.536154317551,-2404.2683423535073,-2404.267931479041,-2404.2698664730274,-2404.2740611149693,-2404.2804532516116,-2404.2889763391377,-2404.2995709373813,-2404.2765237322833,-2404.31217986297,-2404.3267463015713,-2404.3432123446005,-2404.3614134045133,-2404.381603546361,-2404.403408223304,-2404.4268631814602,-2404.4519243139557,-2404.4785288825356,-2404.5066223791887,-2405.423221215855,-2405.2993842770143,-2404.396313142961,-2405.239550396771,-2405.181047099739,-2405.068008125068,-2404.907315076954,-2404.805774945289,-2404.661148214167,-2404.52500884286
Co_CAASPC_comp_3_33_LS,-2405.103517588597,-2404.979964082113,-2404.9198825413223,-2405.3649683078424,-2404.8029947548293,-2404.6903317623564,-2404.635532593622,-2404.528894713326,-2404.477013527379,-2404.3760117975944,-2404.326823463835,-2404.297656119411,-2404.2713013738526,-2404.4292273832584,-2404.261892107643,-2404.2548985739313,-2404.2502556502463,-2404.2479038080237,-2404.2477891552808,-2404.2498689162085,-2404.2540955186364,-2404.2832022935827,-2404.260424255346,-2404.268810551071,-2404.2792095840664,-2404.291575848437,-2404.3058629529237,-2404.3220236059874,-2404.340009736175,-2404.3596801028493,-2404.3812629372014,-2404.4044333671877,-2405.4335258104534,-2405.297730433901,-2404.2785574239706,-2405.231766330245,-2405.167039978256,-2405.041167616604,-2404.860900033802,-2404.746145586812,-2404.581727268054,-2404.425993996387
Co_CEWTUT_comp_0_42_HS,-2218.1973049029457,-2218.1066289786995,-2218.0628954794097,-2218.3926520190153,-2217.9784582444995,-2217.8978438442014,-2217.858820429781,-2217.78351873562,-2217.747096189395,-2217.6764984739843,-2217.6422911084123,-2217.4040455048025,-2217.407329896477,-2217.780071491443,-2217.4123653610545,-2217.4195826698265,-2217.428890449542,-2217.4402434900962,-2217.4535728048745,-2217.4688141244014,-2217.4859045228504,-2217.404531697934,-2217.5047839298045,-2217.525394661662,-2217.547681294478,-2217.5715901134427,-2217.596998199603,-2217.6240550477673,-2217.652520234079,-2217.6824015254256,-2217.7136513390983,-2217.746222943896,-2218.4446360491866,-2218.341960504085,-2217.608776168283,-2218.292533483549,-2218.2443273825274,-2218.151419054501,-2218.0201831119457,-2217.937688824336,-2217.8207975866594,-2217.7114246501087
Co_CEWTUT_comp_0_42_LS,-2218.1821206402965,-2218.0792090518935,-2218.0292270613395,-2218.4003664917295,-2217.9321173750445,-2217.838698935146,-2217.7933320147995,-2217.705198393586,-2217.6623971963522,-2217.5792314201685,-2217.538802457721,-2217.418750887853,-2217.410471587267,-2217.681240927331,-2217.4096249267022,-2217.4108800714585,-2217.4141827878757,-2217.419481091771,-2217.426735235652,-2217.4359033672413,-2217.4469466082496,-2217.413478259975,-2217.459826699219,-2217.4745061229023,-2217.4909473682196,-2217.5091125745985,-2217.52896336871,-2217.550460770349,-2217.573565219696,-2217.5982366401577,-2217.6244345780055,-2217.652118398656,-2218.457681314648,-2218.344184730378,-2217.4992076938565,-2218.289104331196,-2218.2350917602253,-2218.130166914768,-2217.980202348679,-2217.8849551496396,-2217.748837536374,-2217.6203403884138
