,pbe_hfx_0,pbe_hfx_10,pbe_hfx_100,pbe_hfx_15,pbe_hfx_20,pbe_hfx_25,pbe_hfx_30,pbe_hfx_35,pbe_hfx_40,pbe_hfx_45,pbe_hfx_5,pbe_hfx_50,pbe_hfx_55,pbe_hfx_60,pbe_hfx_65,pbe_hfx_70,pbe_hfx_75,pbe_hfx_80,pbe_hfx_85,pbe_hfx_90,pbe_hfx_95,scan_hfx_0,scan_hfx_10,scan_hfx_100,scan_hfx_15,scan_hfx_20,scan_hfx_25,scan_hfx_30,scan_hfx_35,scan_hfx_40,scan_hfx_45,scan_hfx_5,scan_hfx_50,scan_hfx_55,scan_hfx_60,scan_hfx_65,scan_hfx_70,scan_hfx_75,scan_hfx_80,scan_hfx_85,scan_hfx_90,scan_hfx_95
co/2/co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_amine-N-0-d1_4_HS,-2101.554460475331,-2101.5616293096637,-2101.9083790292825,-2101.5681443469125,-2101.5765216857785,-2101.5866848423357,-2101.59846476544,-2101.6121882345446,-2101.627401615992,-2101.644117702954,-2101.557048670854,-2101.662255822828,-2101.68172495067,-2101.70243487658,-2101.7244342300696,-2101.747553600281,-2101.7717630831344,-2101.797084303024,-2101.8234132042257,-2101.85076984881,-2101.879088114941,-2102.509911565083,-2102.4199832442982,-2101.7685825058115,-2102.376800289416,-2102.3347060569604,-2102.2936796804397,-2102.2535911890573,-2102.214555307478,-2102.1763320994096,-2102.1389048092688,-2102.4643588383983,-2102.102230960893,-2102.0662368215926,-2102.0308893919855,-2101.9961947749284,-2101.962074775648,-2101.9285344994473,-2101.8955284250787,-2101.863050268028,-2101.831074911674,-2101.799591282702
co/2/co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_amine-N-0-d1_4_LS,,,-2101.8492277452756,,,,,,,,,,-2101.63424208986,-2101.653401398393,-2101.6738081452204,-2101.695553259844,-2101.718447331098,-2101.7424885779137,-2101.7676294745193,-2101.7938227735945,-2101.821032430719,,,-2101.712170681906,,,,,,,,,,,,,,-2101.8812803642777,-2101.8463966399495,-2101.8120663272343,-2101.7782557327364,-2101.7449732178025
co/2/co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_imidazole-N-2-0_4_HS,-2271.4327028563926,-2271.451179305081,-2271.8928010502564,-2271.463341308011,-2271.477286962084,-2271.4930003149775,-2271.5103026304464,-2271.52912967782,-2271.5493446021383,-2271.571102837348,-2271.4409176732306,-2271.5941964566505,-2271.618554719266,-2271.6442724042054,-2271.6712020412333,-2271.699389752179,-2271.7287512925695,-2271.759307507256,-2271.7910003094535,-2271.8238330329505,-2271.8577688574233,-2272.5324844232987,-2272.4378732206465,-2271.721150069914,-2272.391924738174,-2272.346968091286,-2272.3028307029567,-2272.259474699821,-2272.216931321362,-2272.175043652305,-2272.133867650583,-2272.4846881381545,-2272.093329977848,-2272.0534835451685,-2272.0142372604196,-2271.975626986503,-2271.93759324431,-2271.9001500623795,-2271.8632646703263,-2271.826937463594,-2271.7911475602396,-2271.755889984271
co/2/co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_imidazole-N-2-0_4_LS,-2271.422165743469,-2271.4143175843024,-2271.808296444693,-2271.422599941796,-2271.4321936644774,-2271.4443085271164,-2271.4580865664916,-2271.4742195468943,-2271.4909341821735,-2271.509799018465,-2271.4087096498038,-2271.5303199478244,-2271.552332988787,-2271.5757250279103,-2271.6004358738405,-2271.6264138805113,-2271.6536357207083,-2271.682041699818,-2271.711827210423,-2271.742814232087,-2271.7749758215487,-2272.5175997423516,-2272.4137303329967,-2271.6395574966355,-2272.362354742265,-2272.3118520991056,-2272.264675032282,-2272.2186722827596,-2272.172570338317,-2272.1273205900475,-2272.0828205968946,-2272.4651443008966,-2272.0391155042844,-2271.996260135928,-2271.953922860652,-2271.912520225914,-2271.871416263045,-2271.831200155082,-2271.791623513025,-2271.752665079937,-2271.7143329152877,-2271.676624523437
co/2/co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_imidazole-N-2-0_imidazole-N-2-0_4_HS,-2364.847554124816,-2364.866529307461,-2365.3342253295923,-2364.879192663125,-2364.8937849800486,-2364.9101973762563,-2364.9283384913324,-2364.9480594241722,-2364.9694842476156,-2364.992419575001,-2364.855925058184,-2365.0167638396265,-2365.0426156147355,-2365.069805960193,-2365.0984102625407,-2365.1283038776864,-2365.159526091985,-2365.192001080685,-2365.225746564603,-2365.260699567632,-2365.2968759164983,-2366.0187649472887,-2365.9171683480004,-2365.148150828203,-2365.867874079857,-2365.8195947277886,-2365.7721693448802,-2365.7255889743988,-2365.679893854076,-2365.6349217885813,-2365.590720620144,-2365.967427586163,-2365.547222868341,-2365.5044520800266,-2365.462348695279,-2365.4209294656357,-2365.380139750161,-2365.3399875051446,-2365.3004429417742,-2365.261502513941,-2365.223146425239,-2365.185367337433
co/2/co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_imidazole-N-2-0_imidazole-N-2-0_4_LS,-2364.8397646981252,-2364.820172640356,-2365.2433221064834,-2364.828979517231,-2364.839793769858,-2364.852801297966,-2364.8676951074317,-2364.884713338546,-2364.903410043167,-2364.9236893085454,-2364.842691699668,-2364.9455822870505,-2364.968970335772,-2364.9938641881795,-2365.020324017816,-2365.0482227707403,-2365.0775113923887,-2365.108160434313,-2365.14018097318,-2365.173293032333,-2365.2076231542896,-2366.0069089082394,-2365.8960785046197,-2365.0681695324097,-2365.842263529947,-2365.7895892017004,-2365.7382331572007,-2365.6878441797576,-2365.638284871595,-2365.5897310938944,-2365.5420597111925,-2365.950774462202,-2365.4952348365755,-2365.449276923235,-2365.4040701275794,-2365.359654925282,-2365.3159496757626,-2365.2729755249024,-2365.230683467805,-2365.189094073634,-2365.1482217360103,-2365.107905301842
co/2/co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_4_HS,-2177.9226528876143,-2177.9373617570413,-2178.3416730854515,-2177.947647640876,-2177.959757130079,-2177.9735814193637,-2177.9890112793146,-2178.005964300949,-2178.0242993524207,-2178.0441277288223,-2177.9290537578345,-2178.0652579045973,-2178.087655588662,-2178.1113132295955,-2178.1361768801225,-2178.162256783401,-2178.1894770646404,-2178.2178361194133,-2178.2473652111016,-2178.277778674656,-2178.3090315306135,-2178.9483660993974,-2178.8581756268018,-2178.18363649136,-2178.8145901945445,-2178.7719122602325,-2178.7300823438527,-2178.6891101629044,-2178.648902270792,-2178.609385841394,-2178.570607165363,-2178.9027409143155,-2178.5324818878366,-2178.4949914509,-2178.4581362663544,-2178.4218866099704,-2178.3862171586593,-2178.351114751001,-2178.3165636903886,-2178.282552058807,-2178.2490667752095,-2178.216098337391
co/2/co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_4_LS,-2177.92657843539,-2177.929788661925,-2178.278721946982,-2177.934864106393,-2177.942102851308,-2177.951406739438,-2177.962566118841,-2177.975647637756,-2177.9906046009646,-2178.007287569341,-2177.926985125075,-2178.024894958612,-2178.0444102378383,-2178.065381138537,-2178.0877623691595,-2178.1115717094854,-2178.136468924066,-2178.162619864578,-2178.1899416089727,-2178.218280099226,-2178.2479450315204,-2178.9441735275423,-2178.844937072525,-2178.115506745316,-2178.7970560359927,-2178.7501509145673,-2178.704601225907,-2178.659972040969,-2178.6164379263373,-2178.5736553478964,-2178.5313435880803,-2178.8939252856785,-2178.490124800823,-2178.4496798017503,-2178.4099604215094,-2178.3709870891257,-2178.3327070864907,-2178.2951772489587,-2178.25783698438,-2178.221379097811,-2178.185515894696,-2178.1502294348024
co/2/co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_pyridine-N-3-0_acetonitrile-N-1-0_pyridine-N-3-0_4_HS,-2408.882216435874,-2408.9072712338266,-2409.442857240643,-2408.9230998658695,-2408.940945301474,-2408.9607157269706,-2408.9822955377285,-2409.0055327678833,-2409.0305380091427,-2409.057129079776,-2408.8935863898996,-2409.0851919013535,-2409.1148225343313,-2409.1458416053183,-2409.1783486923873,-2409.2121897636584,-2409.247413916842,-2409.28393927827,-2409.3217882692443,-2409.3608914037736,-2409.401264922536,-2410.1107991398453,-2410.008559075999,-2409.238071230972,-2409.9590075357874,-2409.9104863095554,-2409.8628621463627,-2409.816148082623,-2409.7702343057445,-2409.7251434569516,-2409.6808310731135,-2410.0591196793885,-2409.6372453578397,-2409.5943923158798,-2409.5522307117208,-2409.510748403867,-2409.4699269817716,-2409.429760368608,-2409.3902159141458,-2409.351290019962,-2409.3129637181155,-2409.275228778656
co/2/co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_pyridine-N-3-0_acetonitrile-N-1-0_pyridine-N-3-0_4_LS,-2408.873295652489,-2408.873074260061,-2409.357460207323,-2408.8841126208035,-2408.897621316815,-2408.9132473735835,-2408.931157027644,-2408.9509554232745,-2408.972696777439,-2408.9962115812077,-2408.8642579736565,-2409.021549885579,-2409.048548830638,-2409.077245193129,-2409.107262246433,-2409.138853512107,-2409.1717890607774,-2409.2063813748305,-2409.2420828580907,-2409.279108410609,-2409.3176309605465,-2410.0825716607133,-2409.971362092703,-2409.1471809881778,-2409.9177849814237,-2409.8658987695203,-2409.8140395042315,-2409.7637866443542,-2409.7145302121066,-2409.6662716994533,-2409.6187359558135,-2410.026307198028,-2409.5721835272543,-2409.526494562081,-2409.481709801423,-2409.4371877036924,-2409.393709062168,-2409.350948665156,-2409.3089018900328,-2409.2675914128968,-2409.2268560604493,-2409.186725338751
