Unnamed: 0,e_corr,e_ccsd,e_ccsdt,e_hf,ecorr_t
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_acetonitrile-N-1-0_acetonitrile-N-1-0_4,-2.402749624,-3242.1217669,-3242.209191779,-3239.806442155,96.36146529264832
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_imidazole-N-2-0_4,-2.459927176,-3601.803030641,-3601.894768845,-3599.434841669,96.27069431587508
co_2_water-O-0-0_water-O-0-0_water-O-0-0_water-O-0-0_furan-O-0-0_furan-O-0-0_4,-3.346816665,-2145.918121029,-2146.036488081,-2142.689671416,96.46329441233574
co_3_chloride-Cl-0-d1_chloride-Cl-0-d1_chloride-Cl-0-d1_chloride-Cl-0-d1_misc-C-4-0_misc-C-4-0_5,-2.442822369,-3485.884387299,-3485.983310198,-3483.540487829,95.95046695761005
co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_carbonyl-C-0-0_4,-1.815131048,-3207.919255538,-3207.978983858,-3206.16385281,96.70942105992825
co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_amine-N-0-d1_4,-3.903568082,-2211.369948327,-2211.495021173,-2207.591453091,96.79593532449252
co_2_cs-C-0-0_cs-C-0-0_cs-C-0-0_cs-C-0-0_formaldehyde-O-1-0_formaldehyde-O-1-0_4,-2.651170211,-3352.807664535,-3352.930248445,-3350.279078234,95.37623388000416
co_2_cs-C-0-0_cs-C-0-0_furan-O-0-0_furan-O-0-0_cs-C-0-0_furan-O-0-0_4,-4.240853798,-3377.246719617,-3377.442936441,-3373.202082643,95.3731764086681
co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_hydroxyl-O-0-d1_hydroxyl-O-0-d1_4,-3.556012966,-2152.408650307,-2152.520463013,-2148.9644500470004,96.85567215109626
co_2_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_carboxyl-O-1-d1_carboxyl-O-1-d1_4,-5.952613027,-2750.784206058,-2751.049332412,-2745.096719385,95.54605090576167
co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_water-O-0-0_ome2-O-0-0_water-O-0-0_4,-3.52826594,-2153.117437752,-2153.224316516,-2149.696050576,96.97078491765504
co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_cyanide-C-0-d1_cyanide-C-0-d1_4,-3.750159826,-2186.320025908,-2186.450072583,-2182.699912757,96.53223646367782
co_2_cs-C-0-0_cs-C-0-0_cs-C-0-0_cs-C-0-0_cs-C-0-0_hydroxyl-O-0-d1_4,-2.473243322,-3635.860278439,-3635.987008099,-3633.513764777,94.87597282190232
co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_imidazole-N-2-0_4,-2.363802864,-3320.620023548,-3320.705980246,-3318.342177382,96.36362662432316
co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_thiocyanate-S-0-d1_4,-2.00966626,-3585.530649099,-3585.604660489,-3583.594994229,96.31722980711407
co_2_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_furan-O-0-0_4,-6.60719465,-2850.038699472,-2850.344605255,-2843.737410605,95.37011092900818
co_3_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_ome2-O-0-0_imidazole-N-2-0_ome2-O-0-0_5,-5.425111872,-2593.689809989,-2593.920819031,-2588.495707159,95.74185662064431
co_3_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_carboxyl-O-1-d1_carboxyl-O-1-d1_5,-2.58060728,-3130.068472456,-3130.158654499,-3127.578047219,96.50539453644342
co_2_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_misc-C-4-0_amine-N-0-d1_4,-3.44381917,-2099.983755755,-2100.122467112,-2096.678647942,95.97216490900064
co_3_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_formaldehyde-O-1-0_5,-1.84120062,-3208.510903994,-3208.576525729,-3206.735325109,96.43592695509516
co_2_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_SH2-S-0-0_acetonitrile-N-1-0_4,-2.074999272,-3508.499913279,-3508.571932379,-3506.496933107,96.52919878228046
co_2_furan-O-0-0_furan-O-0-0_furan-O-0-0_furan-O-0-0_pyridine-N-3-0_pyridine-N-3-0_4,-6.21291496,-2795.411234341,-2795.687858079,-2789.474943119,95.54760141124424
co_2_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_cyanide-C-0-d1_cyanide-C-0-d1_4,-5.374121926,-2558.463458912,-2558.713037847,-2553.338915921,95.35591230648232
co_3_furan-O-0-0_furan-O-0-0_furan-O-0-0_amine-N-0-d1_furan-O-0-0_amine-N-0-d1_5,-4.609541064,-2411.754978147,-2411.948913386,-2407.339372322,95.79274300180217
co_2_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_chloride-Cl-0-d1_imidazole-N-2-0_chloride-Cl-0-d1_4,-4.614122035,-3204.66433565,-3204.862507993,-3200.248385958,95.705090990298
co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_formaldehyde-O-1-0_formaldehyde-O-1-0_4,-2.052434294,-2980.768306975,-2980.833555499,-2978.781121205,96.82092020237876
co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_pyridine-N-3-0_acetonitrile-N-1-0_pyridine-N-3-0_4,-4.719122577,-2407.137576599,-2407.34178834,-2402.6226657630004,95.6726756368734
co_2_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_formaldehyde-O-1-0_formaldehyde-O-1-0_4,-5.455768634,-2601.303237704,-2601.545772096,-2596.090003462,95.55453304070588
co_3_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_fluoride-F-0-d1_fluoride-F-0-d1_5,-3.167154378,-2111.253870816,-2111.375552901,-2108.208398523,96.15799956436084
co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_cs-C-0-0_4,-1.784318993,-3530.47632551,-3530.540528671,-3528.756209678,96.40181148931588
co_2_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_carboxyl-O-1-d1_4,-6.340922577,-2809.555721012,-2809.845829763,-2803.504907186,95.42481795863432
co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_hydroxyl-O-0-d1_4,-1.72215703,-3170.843662855,-3170.896918171,-3169.174761141,96.90763878830089
co_2_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_4,-6.023925343,-2736.365710134,-2736.633437241,-2730.609511898,95.55560383378108
co_2_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_ome2-O-0-0_pyridine-N-3-0_pyridine-N-3-0_4,-5.101948434,-2496.06557488,-2496.260980014,-2491.15903158,96.1699900238558
co_2_furan-O-0-0_furan-O-0-0_furan-O-0-0_imidazole-N-2-0_furan-O-0-0_imidazole-N-2-0_4,-5.978550645,-2751.455283971,-2751.71595202,-2745.737401375,95.63994579157706
co_3_fluoride-F-0-d1_fluoride-F-0-d1_fluoride-F-0-d1_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_5,-4.037172611,-2358.579267054,-2358.741093144,-2354.703920533,95.99159843800425
co_2_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_acetonitrile-N-1-0_amine-N-0-d1_4,-3.444409847,-2100.159256556,-2100.295899887,-2096.85149004,96.03289570435086
co_2_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_pyridine-N-3-0_misc-C-4-0_4,-6.230642096,-2752.933010146,-2753.220947908,-2746.9903058120003,95.3786823642919
co_2_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_imidazole-N-2-0_amine-N-0-d1_4,-5.354382126,-2566.638552123,-2566.872902252,-2561.518520126,95.6232087384613
co_2_carboxyl-O-1-d1_carboxyl-O-1-d1_carboxyl-O-1-d1_pyridine-N-3-0_carboxyl-O-1-d1_pyridine-N-3-0_4,-5.184312439,-2632.887537569,-2633.104220008,-2627.919907569,95.82042090345742
co_2_cs-C-0-0_cs-C-0-0_cs-C-0-0_SH2-S-0-0_cs-C-0-0_SH2-S-0-0_4,-2.275429827,-3921.977899769,-3922.086782277,-3919.81135245,95.2148597725169
co_2_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_phosphine-P-0-0_cyanide-C-0-d1_cyanide-C-0-d1_4,-1.986981336,-2937.99679637,-2938.070938434,-2936.083957098,96.26860793021476
